序号,姓名,所属公司,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
9,胡尧盛,创金合信基金,"创金合信沪港深精选混合,创金合信港股通大消费精选股票A,创金合信港股通大消费精选股票C,创金合信港股通成长股票A,创金合信港股通成长股票C,创金港股互联网3个月持有混合(QDII)A,创金港股互联网3个月持有混合(QDII)C",1402,8.12,72.83
10,胡耀文,海富通基金,海富通国策导向混合,2202,3.5,10.88
11,黄友文,诺安基金,"诺安研究优选混合,诺安增利债券A,诺安增利债券B",414,3.91,9.36
12,贺雨轩,天弘基金,"天弘中证医药100A,天弘中证医药100C,天弘国证生物医药ETF发起式联接A,天弘国证生物医药ETF发起式联接C,天弘恒生沪深港创新药精选50ETF",105,20.79,-3.98
13,胡银玉,银华基金,"银华长丰混合发起式,银华长荣混合",561,22.42,62.38
14,何移直,华安基金,"华安养老2030三年(FOF),华安稳健养老一年(FOF),华安养老2040三年持有混合(FOF),华安平衡养老三年持有(FOF)",902,35.97,23.33
15,胡颖臻,华宝基金,"华宝稳健养老(FOF),华宝稳健目标风险三个月持有(FOF)",156,0.73,2.36
16,贺喆,华宝基金,"华宝制造股票,华宝转型升级混合,华宝新优选定开混合",1200,3.3,139.61
17,洪志,广发基金,"广发鑫惠纯债定开,广发汇吉3个月定开债,广发汇佳定期开放债券,广发汇立定期开放债券,广发汇兴3个月定期开放债券,广发汇利一年定期开放债券,广发均衡增长混合A,广发均衡增长混合C,广发汇荣三个月定开债券",1008,230,10.26
18,黄稚,中信保诚基金,"信诚中证800医药指数(LOF)C,信诚中证800有色指数(LOF)C,信诚中证基建工程指数(LOF)C,信诚中证信息安全指数(LOF)C,信诚中证智能家居指数(LOF)C,中信保诚中证500指数(LOF)C,信诚中证TMT产业主题指数(LOF)C,中信保诚中证500指数(LOF)A,信诚中证800医药指数(LOF)A,信诚中证800有色指数(LOF)A,信诚中证TMT产业主题指数(LOF)A,信诚中证信息安全指数(LOF)A,信诚中证智能家居指数(LOF)A,信诚中证基建工程指数(LOF)A",1177,36.88,121.81
19,黄钟,泰康资产,"泰康景泰回报混合A,泰康景泰回报混合C,泰康安悦纯债3月定开债券,泰康安泽中短债A,泰康安泽中短债C",752,25.62,38.82
20,胡振仓,民生加银基金,"民生加银岁岁增利债券A,民生加银岁岁增利债券C,民生加银岁岁增利债券D,民生加银鑫升纯债,民生加银恒益纯债A,民生加银恒益纯债C,民生加银添鑫纯债A,民生加银添鑫纯债C,民生加银聚鑫三年定开债,民生加银瑞夏一年定开债券发起式,民生瑞盈一年定开债发起式,民生睿智一年定开债,民生加银平稳增利A,民生加银平稳增利C,民生加银丰鑫债券",4551,194.79,24.21
21,韩哲昊,德邦基金,"德邦德利货币A,德邦德利货币B,德邦锐兴债券A,德邦锐兴债券C",2185,67.84,5.36
22,何智豪,上投摩根基金,"上投摩根优选多因子股票,上投标普港股通低波红利指数A,上投标普港股通低波红利指数C,上投摩根量化多因子混合,上投摩根MSCI中国A股ETF联接A,上投摩根MSCI中国A股ETF联接C,上投摩根中证消费服务指数,上投摩根MSCI中国A股ETF",251,6.1,6.37
23,黄子寒,中信建投基金,"中信建投桂企债A,中信建投桂企债C,中信建投稳硕债券A,中信建投稳硕债券C",197,7.19,1.87
24,何子建,华泰柏瑞基金,"华泰柏瑞丰盛纯债债券A,华泰柏瑞丰盛纯债债券C,华泰柏瑞锦泰一年定开,华泰柏瑞锦瑞债券A,华泰柏瑞锦瑞债券C,华泰柏瑞锦兴39个月定开债,华泰柏瑞景利混合A,华泰柏瑞景利混合C,华泰柏瑞恒利混合A,华泰柏瑞恒利混合C",941,65.53,11.39
25,胡志利,工银瑞信基金,"工银聚焦30股票,工银现代服务业混合,工银科技创新3年封闭混合,工银优质精选混合",2249,34.42,180.8
26,胡智磊,国泰基金,"国泰润泰纯债债券,国泰丰祺纯债债券,国泰聚禾纯债债券,国泰惠融纯债债券,国泰聚瑞纯债债券,国泰惠泰一年定期开放债券,国泰惠瑞一年定开债,国泰聚鑫纯债债券,国泰添福一年定期开放债券,国泰瑞泰纯债债券",468,76.24,5.17
27,黄子凌,建信基金,"建信高端装备股票A,建信高端装备股票C",170,3.1,12.03
28,胡志伟,诺德基金,诺德品质消费6个月持有混合,2406,9.96,-1.36
29,黄志翔,国泰基金,"国泰润利纯债债券,国泰润鑫定开债发起式,国泰民安增益纯债A,国泰瑞和纯债债券,国泰民安增益纯债C,国泰嘉睿纯债债券,国泰丰盈纯债债券,国泰聚享纯债债券,国泰裕祥三个月定开债,国泰惠盈纯债债券,国泰惠富纯债债券,国泰瑞安三个月定期开放债券,国泰惠丰纯债债券,国泰兴富三个月定开债,国泰盛合三个月定开债,国泰惠享三个月定开债",1802,116.07,21.83
30,何之渊,朱雀基金,"朱雀产业臻选混合A,朱雀产业臻选混合C,朱雀产业智选混合A,朱雀产业智选混合C",840,88.62,99.31
31,胡中原,华商基金,"华商双翼平衡混合,华商瑞丰短债A,华商润丰灵活配置混合A,华商元亨灵活配置混合,华商瑞丰短债C,华商润丰灵活配置混合C,华商鸿畅39个月定开利率债A,华商鸿畅39个月定开利率债C,华商鸿益一年定开债,华商鸿盈87个月定开债,华商现金增利货币A,华商现金增利货币B",940,121.26,83.78
32,韩正宇,中融基金,"中融日日盈交易型货币B,中融恒惠纯债A,中融恒惠纯债C,中融日日盈交易型货币A",149,11.34,0.84
33,IKEDA KAE,浦银安盛基金,浦银安盛全球智能科技(QDII),1359,0.5,58.58
34,姜诚,中泰证券(上海)资管,"中泰星元价值优选灵活配置A,中泰玉衡价值优选混合,中泰兴诚价值一年持有混合A,中泰兴诚价值一年持有混合C,中泰星元价值优选灵活配置C",1652,19.22,119.52
35,季程,申万宏源证券,申万宏源灵通快利短债债券,149,,1.02
36,焦翠,鹏扬基金,"鹏扬汇利债券A,鹏扬汇利债券C,鹏扬利泽债券A,鹏扬利泽债券C,鹏扬景兴混合A,鹏扬景兴混合C,鹏扬景欣混合A,鹏扬景欣混合C,鹏扬泓利债券A,鹏扬泓利债券C,鹏扬淳享债券A,鹏扬淳享债券C,鹏扬景创混合A,鹏扬景创混合C,鹏扬景颐混合A,鹏扬景颐混合C,鹏扬景阳一年持有混合A,鹏扬景阳一年持有混合C,鹏扬淳熙一年定开债发起式",1308,215.05,44.42
37,贾成东,招商基金,"招商行业精选股票基金,招商财经大数据股票A,招商财经大数据股票C,招商研究优选股票A,招商研究优选股票C,招商科技动力3个月股票A,招商科技动力3个月股票C,招商产业精选股票A,招商产业精选股票C,招商景气精选股票A,招商景气精选股票C,招商优质成长混合(LOF)",2447,163.9,207.36
38,季参平,交银施罗德基金,"交银现金宝货币A,交银现金宝货币E,交银天鑫宝货币A,交银天鑫宝货币E,交银裕祥纯债债券A,交银裕祥纯债债券C,交银中债1-3年农发债指数A,交银中债1-3年农发债指数C,交银中债1-3年政金债指数A,交银中债1-3年政金债指数C,交银裕景纯债一年定开债,交银货币A,交银货币B,交银丰润收益债券A/B,交银丰润收益债券C,交银裕通纯债债券A,交银裕通纯债债券C",811,1000.08,6.28
39,姜锋,建信基金,"建信健康民生混合,建信环保产业股票,建信优势动力混合(LOF),建信科技创新3年封闭混合",3747,23.64,531.6
40,季峰,广发基金,"广发百发100指数A,广发百发100指数E,广发百发大数据成长混合A,广发百发大数据成长混合E",2550,5.34,102.08
41,江峰,中信保诚基金,信诚多策略灵活配置混合,548,0.97,27.4
42,金昉毅,光大保德信基金管理,"光大风格轮动混合A,光大创业板量化优选A,光大创业板量化优选C,光大风格轮动混合C,光大锦弘混合A,光大锦弘混合C,光大保德信中证500指数增强A,光大保德信中证500指数增强C,光大量化股票,光大优势配置混合",2144,57.18,122.73
43,姜华,建信基金,"建信福泽安泰混合(FOF),建信福泽裕泰混合(FOF)A,建信福泽裕泰混合(FOF)C,建信智汇优选一年持有期混合(MOM)",1008,28.83,43.47
44,景辉,诺德基金,"诺德短债债券A,诺德短债债券C,诺德安盈纯债,诺德安瑞39个月定开,诺德安鸿纯债,诺德安盛纯债,诺德增强收益债券",1210,89.4,13.56
45,江虹,景顺长城基金,景顺长城养老混合(FOF),26,0.53,-0.4
46,蒋华安,工银瑞信基金,"工银养老2035(FOF),工银养老2040(FOF),工银养老2045三年持有混合(FOF),工银稳健养老目标一年持有混合发起(FOF),工银价值稳健6个月持有混合(FOF)A,工银价值稳健6个月持有混合(FOF)C",1079,12.84,55.91
47,金鸿峰,汇安基金,"汇安嘉汇纯债债券A,汇安丰恒灵活配置混合A,汇安丰恒灵活配置混合C,汇安嘉源纯债债券,汇安嘉裕纯债债券,汇安鼎利纯债A,汇安鼎利纯债C,汇安嘉鑫纯债债券,汇安嘉盛纯债债券A,汇安嘉盛纯债债券C,汇安裕和纯债债券A,汇安裕和纯债债券C,汇安中债-广西信用债A,汇安中债-广西信用债C,汇安嘉汇纯债债券C",93,60.81,1.05
48,季慧娟,嘉合基金,"嘉合货币A,嘉合货币B,嘉合磐稳纯债A,嘉合磐稳纯债C,嘉合稳健增长混合A,嘉合稳健增长混合C,嘉合磐昇纯债A,嘉合磐昇纯债C,嘉合锦鹏添利混合A,嘉合锦鹏添利混合C,嘉合慧康63个月定开债券A,嘉合慧康63个月定开债券C,嘉合中债-1-3年政金债指数A,嘉合中债-1-3年政金债指数C",2290,142.52,49.7
49,金宏伟,泰康资产,"泰康新机遇混合,泰康恒泰回报混合A,泰康恒泰回报混合C,泰康颐享混合A,泰康颐享混合C,泰康科技创新一年定开混合",1508,43.14,63.22
50,经惠云,泰康资产,"泰康年年红纯债一年债券,泰康安和纯债6个月定开债券,泰康信用精选债券A,泰康信用精选债券C,泰康润颐63个月定开债券,泰康润和两年定开债券,泰康瑞丰3月定开债券,泰康长江经济带债券A,泰康长江经济带债券C",2155,182.63,26.88
1,JINYA,广发基金,"广发稳健养老(FOF),广发养老2050混合(FOF),广发养老2040(FOF),广发安泰稳健养老一年持有混合(FOF)",287,13.28,1.78
2,贾健,易方达基金,易方达创新驱动灵活配置混合,138,31.79,41.9
3,江俊晨,恒生前海基金,恒生前海港股通精选混合,366,2.17,-0.64
4,纪君凯,海富通基金,"海富通量化前锋股票C,海富通量化前锋股票A,海富通中证500增强C,海富通上证周期ETF,海富通上证非周期ETF,海富通中证500增强A",496,3.63,37.9
5,蒋佳良,浦银安盛基金,"浦银安盛价值精选混合A,浦银安盛价值精选混合C,浦银均衡优选6个月持有混合A,浦银均衡优选6个月持有混合C,浦银安盛新经济结构混合C,浦银安盛新经济结构混合A",1586,23.68,303.87
6,姜杰特,平安证券,"平安安赢添利半年滚动持有A,平安安赢添利半年滚动持有B,平安安赢添利半年滚动持有C,平安安赢添利半年滚动持有D",155,4.05,1.21
7,蒋俊阳,华宝基金,"华宝中证细分食品饮料产业主题ETF联接A,华宝中证细分食品饮料产业主题ETF联接C,华宝中证电子50ETF联接A,华宝中证电子50ETF联接C,华宝深证创新100ETF发起联接A,华宝深证创新100ETF发起联接C,华宝中证800地产ETF,华宝深创100ETF,华宝中证电子50ETF,华宝中证细分食品饮料主题ETF,华宝中证沪港深500ETF",454,29.06,-0.04
8,蒋科,广发基金,广发趋势动力混合,532,0.44,66.26
9,江科宏,景顺长城基金,"景顺长城优势企业混合,景顺长城品质长青混合,景顺长城精选蓝筹混合",3411,56.14,88.62
10,蒋磊,银河基金,"银河睿达灵活配置混合A,银河睿达灵活配置混合C,银河嘉谊灵活配置混合A,银河嘉谊灵活配置混合C,银河睿嘉债券A,银河睿丰定开债券,银河睿嘉债券C,银河家盈债券,银河聚星两年定开债券,银河旺利混合A,银河旺利混合C,银河旺利混合I,银河君怡债券,银河君辉3个月定开债,银河鸿利混合A,银河鸿利混合C,银河鸿利混合I,银河增利债券A,银河增利债券C,银河银信添利债券B,银河银信添利债券A,银河领先债券",1875,137.15,151.34
11,吉莉,国投瑞银基金,"国投瑞银策略精选混合,国投瑞银核心企业混合",1590,15.69,118.55
12,江凌,永赢基金,"永赢盈益债券A,永赢盈益债券C,永赢通益债券A,永赢通益债券C,永赢汇利六个月定开债,永赢众利债券",687,65.23,9.89
13,蒋利娟,泰康资产,"泰康薪意保货币A,泰康薪意保货币B,泰康稳健增利债券A,泰康稳健增利债券C,泰康薪意保货币E,泰康宏泰回报混合,泰康金泰3月定开混合,泰康兴泰回报沪港深混合,泰康颐年混合A,泰康颐年混合C,泰康颐享混合A,泰康颐享混合C,泰康招泰尊享一年持有期混合A,泰康招泰尊享一年持有期混合C,泰康浩泽混合A,泰康浩泽混合C,泰康合润混合A,泰康合润混合C",2309,229.87,56.64
14,贾丽杰,金元顺安基金,"金元顺安沣楹债券,金元顺安医疗健康混合A,金元顺安医疗健康混合C,金元顺安成长动力混合,金元顺安价值增长混合",1298,23.27,69.78
15,蒋丽丝,兴业基金,"兴业消费精选混合A,兴业消费精选混合C",302,3.96,-15.13
16,江刘玮,中邮基金,"中邮睿信增强债,中邮景泰灵活配置混合A,中邮景泰灵活配置混合C",223,13.56,5.68
17,纪玲云,易方达基金,"易方达信用债债券A,易方达信用债债券C,易方达瑞财混合I,易方达瑞财混合E,易方达恒利定期开放债券,易方达恒盛3个月定开混合,易方达恒裕一年定开债",2952,123.03,50.2
18,金凌志,南方基金,"南方纯元A,南方纯元C,南方卓利3个月定开债A,南方卓利3个月定开债C,南方惠利6个月定开债A,南方惠利6个月定开债C,南方贺元利率债债券A,南方贺元利率债债券C,南方集利18个月定开债券A,南方集利18个月定开债券C,南方昭元债券A,南方昭元债券C,南方升元中短期利率债A,南方升元中短期利率债C,南方润元纯债债券A/B,南方润元纯债债券C",1539,227.36,19.42
19,金猛,嘉实基金,"嘉实绝对收益策略定期混合,嘉实对冲套利定期混合,嘉实中小企业量化活力混合,嘉实央企创新驱动ETF联接A,嘉实央企创新驱动ETF联接C,嘉实医药健康100ETF联接A,嘉实医药健康100ETF联接C,嘉实量化阿尔法混合,嘉实中证央企创新驱动ETF",1120,44.78,101.61
20,蒋敏,银河基金,"银河颐年稳健养老一年持有混合(FOF),银河悦宁稳健养老一年持有(FOF)",78,5.97,0.11
21,金梦,天弘基金,天弘通利混合,26,2.83,0
22,冀楠,博时基金,"博时核心资产精选混合A,博时核心资产精选混合C,博时精选混合A",1463,38.5,-0.23
23,蒋娜,博时基金,"博时文体娱乐主题混合,博时研究精选持有期混合A,博时研究精选持有期混合C,博时女性消费主题混合A,博时女性消费主题混合C,博时凤凰领航混合A,博时凤凰领航混合C,博时价值增长贰号混合",1841,95.21,101.1
24,季鹏,国泰君安资产管理,国君资管君得诚混合,2745,6.57,-2.86
25,贾鹏,银华基金,"银华多元视野灵活配置混合,银华远景债券,银华多元动力灵活配置混合,银华多元机遇混合,银华远兴一年持有期债券,银华多元回报一年持有期混合,银华增强收益债券,银华信用双利债券A,银华信用双利债券C,银华永祥灵活配置混合",2605,187.45,180.4
26,静鹏,江信基金,"江信聚福定开债,江信祺福A,江信祺福C",1905,4.2,30.01
27,蒋璆,华安基金,"华安制造先锋混合A,华安成长先锋混合A,华安成长先锋混合C,华安制造先锋混合C,华安动态灵活配置混合,华安创业板两年定开混合",2312,40.86,293.14
28,纪青,富安达基金,"富安达健康人生混合,富安达长盈灵活配置混合,富安达中证500指数增强",1763,1.12,140.8
29,蒋茜,东方基金,"东方创新科技混合,东方鑫享价值成长一年持有混合A,东方鑫享价值成长一年持有混合C,东方主题精选混合",1541,22.13,292
30,蒋秋洁,南方基金,"南方产业活力,南方产业优势两年混合A,南方瑞盛三年混合A,南方瑞盛三年混合C,南方产业优势两年混合C,南方天元新产业股票(LOF),南方隆元产业主题混合",2492,104.87,71.01
31,贾仁栋,招商基金,"招商丰利灵活配置混合A,招商丰利灵活配置混合C,招商睿祥定开混合",1863,1.24,90.1
32,江山,长安基金,"长安裕腾混合A,长安裕腾混合C,长安宏观策略混合",62,5.06,0.47
33,荆树光,中信建投,"中信建投价值增长A,中信建投价值增长C",311,38.77,-4.15
34,金晟哲,博时基金,"博时鑫泽灵活配置混合A,博时鑫泽灵活配置混合C,博时荣泰混合,博时荣华灵活配置混合A,博时荣华灵活配置混合C,博时恒泰债券A,博时恒泰债券C,博时主题行业混合(LOF)",1816,119.33,125.44
35,姜绍政,国寿安保基金,"国寿安保稳悦混合A,国寿安保稳悦混合C,国寿安保稳弘混合A,国寿安保稳弘混合C,国寿安保稳鑫一年持有混合A,国寿安保稳鑫一年持有混合C,国寿安保璟珹6个月持有混合A,国寿安保璟珹6个月持有混合C",2,31.1,0.26
36,鞠婷,上投摩根基金,"上投摩根天添宝货币A,上投摩根天添宝货币B,上投摩根天添盈货币A,上投摩根天添盈货币B,上投摩根天添盈货币E,上投摩根货币A,上投摩根货币B",2289,917.19,15.75
37,金拓,中融基金,"中融核心成长,中融成长优选混合A,中融成长优选混合C",1570,2.32,196.83
38,贾腾,浙商基金,"浙商全景消费混合,浙商丰利增强债券,浙商中华预期高股息A,浙商中华预期高股息C,浙商沪港深精选混合A,浙商沪港深精选混合C,浙商智选价值混合A,浙商智选价值混合C,浙商智选家居股票A,浙商智选家居股票C,浙商智选食品饮料股票A,浙商智选食品饮料股票C,浙商聚潮产业成长混合C,浙商聚潮产业成长混合A",966,37.94,125
39,焦巍,银华基金,"银华富利精选混合,银华富饶精选三年持有期混合,银华富久食品饮料精选混合(LOF)C,银华富裕主题混合,银华富久食品饮料精选混合(LOF)A",2246,339.88,223.02
40,计伟,中银证券,"中银证券祥瑞混合A,中银证券祥瑞混合C,中银证券创业板ETF,中银证券中证500ETF",1301,1.21,12
41,季文华,兴证全球基金,"兴全合丰三年持有混合,兴全社会责任混合",1920,166,76.7
42,纪文静,东方红资产管理,"东方红领先精选混合,东方红稳健精选混合A,东方红稳健精选混合C,东方红睿逸定期开放混合,东方红收益增强债券A,东方红收益增强债券C,东方红6个月定开债,东方红信用债债券A,东方红信用债债券C,东方红稳添利纯债A,东方红价值精选混合A,东方红价值精选混合C,东方红战略精选混合A,东方红战略精选混合C,东方红益鑫纯债A,东方红益鑫纯债C,东方红智逸沪港深定开混合,东方红稳添利纯债C",2284,336.22,90.6
43,江文军,淳厚基金,"淳厚稳惠债券A,淳厚稳惠债券C,淳厚稳鑫债券A,淳厚稳鑫债券C,淳厚中短债债券A,淳厚中短债债券C,淳厚稳嘉债券A,淳厚稳嘉债券C,淳厚安裕87个月定开债,淳厚安心87个月定开债",399,173.05,4.31
44,季伟杰,兴证全球基金,"兴全兴泰定期开放债券,兴全恒瑞定开债券发起式,兴全恒祥88个月定开债券",842,150.76,9.26
45,蒋文玲,汇添富基金,"汇添富现金宝货币A,汇添富短债债券A,汇添富短债债券C,汇添富丰利短债债券A,汇添富90天短债A,汇添富90天短债B,汇添富90天短债C,汇添富汇鑫货币A,汇添富汇鑫货币B,汇添富现金宝货币B,汇添富现金宝货币C,汇添富丰利短债债券C,汇添富短债债券E,汇添富利率债",2813,1047.62,22.03
46,蒋雯文,中欧基金,"中欧睿达定期开放混合A,中欧琪和灵活配置混合A,中欧琪和灵活配置混合C,中欧双利债券A,中欧双利债券C,中欧康裕混合A,中欧康裕混合C,中欧瑾泰债券A,中欧瑾泰债券C,中欧安财定开债发起式,中欧睿达定期开放混合C,中欧达益稳健一年混合A,中欧达益稳健一年混合C",1353,197.28,30.6
47,蒋鑫,鹏华基金,"鹏华健康环保混合,鹏华优选成长混合A,鹏华优选成长混合C,鹏华远见成长混合A,鹏华远见成长混合C,鹏华致远成长混合A,鹏华致远成长混合C,鹏华产业升级混合A,鹏华产业升级混合C,鹏华普天收益混合,鹏华动力增长混合(LOF)",1938,115.34,162.06
48,景晓达,工银瑞信基金,"工银聚丰混合A,工银聚丰混合C,工银聚瑞混合A,工银聚瑞混合C,工银聚享混合A,工银聚享混合C,工银聚宁9个月持有期混合A,工银聚宁9个月持有期混合C,工银添颐债券B,工银添颐债券A",1087,25.02,31.99
49,金笑非,鹏华基金,"鹏华医药科技,鹏华创新升级混合A,鹏华创新升级混合C,鹏华科创3年封闭混合",1938,47.28,159.76
50,金兴健,华润元大基金,"华润元大现金收益货币A,华润元大现金收益货币B,华润元大稳健债券A,华润元大稳健债券C,华润元大现金通货币A,华润元大现金通货币B,华润元大润鑫债券A,华润元大双鑫债券A,华润元大双鑫债券C,华润元大润泽债券A,华润元大润泽债券C,华润元大景泰混合A,华润元大景泰混合C,华润元大润鑫债券C,华润元大润禧39个月定开债A,华润元大润禧39个月定开债C",233,131.87,4.78
1,姜晓丽,天弘基金,"天弘永利债券E,天弘荣享定开债,天弘增强回报债券A,天弘增强回报债券C,天弘安康颐养混合C,天弘永利债券C,天弘增强回报债券E,天弘安康颐和混合A,天弘安康颐和混合C,天弘宁弘六个月A,天弘宁弘六个月C,天弘安盈一年持有A,天弘安盈一年持有C,天弘安康颐享12个月持有A,天弘安康颐享12个月持有C,天弘永利优佳混合A,天弘永利优佳混合C,天弘永利债券A,天弘安康颐养混合A,天弘永利债券B",3359,196.77,99.68
2,蒋秀蕾,融通基金,"融通医疗保健行业混合C,融通创新动力混合A,融通创新动力混合C,融通新蓝筹混合,融通医疗保健行业混合A/B",2821,53,187.43
3,靳晓龙,北信瑞丰,"北信瑞丰稳定收益A,北信瑞丰稳定收益C,北信瑞丰稳定增强,北信瑞丰鼎盛中短债A,北信瑞丰鼎盛中短债C",217,2.5,5.15
4,姜雪婷,景顺长城基金,"景顺长城医疗健康混合A,景顺长城医疗健康混合C",55,4.14,3.09
5,季新星,华夏基金,"华夏行业龙头混合,华夏内需驱动混合A,华夏内需驱动混合C,华夏消费优选混合A,华夏消费优选混合C,华夏阿尔法精选混合A,华夏阿尔法精选混合C",1600,83.85,20.02
6,江勇,海富通基金,"海富通中证长三角领先ETF联接,海富通中证100指数(LOF)C,海富通策略收益债券A,海富通策略收益债券C,海富通欣睿混合A,海富通欣睿混合C,海富通欣利混合A,海富通欣利混合C,海富通中证100指数(LOF)A,海富通上证周期ETF,海富通上证非周期ETF,海富通中证港股通科技ETF,海富通中证长三角领先ETF,海富通上证周期ETF联接,海富通稳固收益债券,海富通上证非周期ETF联接",1192,25.22,72.31
7,金耀,民生加银基金,"民生加银研究精选混合,民生加银周期优选混合A,民生加银周期优选混合C,民生加银聚优精选混合,民生加银积极成长混合发起式",1389,7.31,195.86
8,姜英,国泰基金,国泰金牛创新成长混合,300,16.49,9.97
9,江映德,建信基金,建信裕利灵活配置混合,255,0.91,13.4
10,季运佳,上海光大证券资产管理,"光大阳光生活18个月混合A,光大阳光生活18个月混合B,光大阳光生活18个月混合C",69,0.74,-7.25
11,姜永明,财通资管,"财通资管价值成长混合,财通资管价值发现混合A,财通科技创新一年定开混合,财通资管均衡价值一年持有期混合,财通资管价值精选一年持有混合A,财通资管价值精选一年持有混合C,财通资管宸瑞一年持有混合A,财通资管宸瑞一年持有混合C,财通资管价值发现混合C",910,101.93,186.44
12,蒋一茜,嘉实基金,嘉实原油(QDII-LOF),2182,5.81,8.29
13,金梓才,财通基金,"财通成长优选混合,财通集成电路产业股票A,财通集成电路产业股票C,财通科技创新混合A,财通科技创新混合C,财通智慧成长混合A,财通智慧成长混合C,财通多策略福鑫定开混合,财通科创主题3年封闭混合,财通价值动量混合",2521,58.18,353.43
14,金之洁,蜂巢基金,"蜂巢添汇纯债A,蜂巢添汇纯债C,蜂巢添跃66个月定开债,蜂巢丰鑫一年定开,蜂巢添益纯债A,蜂巢添益纯债C,蜂巢丰业一年定开债发起式,蜂巢添元纯债A,蜂巢添元纯债C,蜂巢添禧87个月定开,蜂巢丰华债券A,蜂巢丰华债券C,蜂巢丰远债券A,蜂巢丰远债券C",533,238.18,4.83
15,孔芳,前海开源基金,"前海开源黄金ETF联接,前海开源黄金ETF",133,1.28,-5.03
16,康芳华,圆信永丰基金,"圆信永丰兴利A,圆信永丰兴利C,圆信永丰兴融A,圆信永丰兴融C,圆信永丰兴瑞定开债",309,28.42,4.45
17,柯海东,中融基金,"中融竞争优势,中融高股息混合A,中融高股息混合C,中融策略优选混合A,中融策略优选混合C,中融品牌优选混合A,中融品牌优选混合C,中融价值成长6个月持有混合A,中融价值成长6个月持有混合C,中融鑫锐精选一年持有混合A,中融鑫锐精选一年持有混合C,中融匠心优选混合A,中融匠心优选混合C",1973,15.43,223.54
18,康晶,招商基金,"招商招裕纯债A,招商招裕纯债C,招商招祥纯债A,招商招祥纯债C,招商添利6个月定开债发起式A,招商添利6个月定开债发起式C,招商添荣3个月定开债A,招商添荣3个月定开债C,招商添泽纯债A,招商添泽纯债C,招商添韵3个月定开债A,招商添韵3个月定开债C,招商招和39个月定开债,招商招阳纯债A,招商招阳纯债C,招商招祥纯债D,招商安泰债券D,招商安泰债券A,招商安泰债券B",2262,277.42,28.8
19,阚磊,国寿安保基金,"国寿安保尊荣中短债债券A,国寿安保尊荣中短债债券C,国寿安保尊耀纯债A,国寿安保尊耀纯债C,国寿安保安泽39个月定开债,国寿安保泰安纯债债券,国寿安保稳悦混合A,国寿安保稳悦混合C,国寿安保稳弘混合A,国寿安保稳弘混合C,国寿安保安悦纯债一年定开债,国寿安保璟珹6个月持有混合A,国寿安保璟珹6个月持有混合C,国寿安保安弘纯债一年定开债",968,176.36,19.65
20,孔令兵,工银瑞信基金,"工银沪港深精选混合A,工银沪港深精选混合C,工银红利优享混合A,工银红利优享混合C,工银全球股票(QDII)美元,工银全球股票(QDII)港币,工银全球股票(QDII)人民币",311,21.36,18.44
21,孔令超,东方红资产管理,"东方红稳健精选混合A,东方红稳健精选混合C,东方红睿逸定期开放混合,东方红策略精选混合A,东方红策略精选混合C,东方红汇利债券A,东方红汇利债券C,东方红汇阳债券A,东方红汇阳债券C,东方红汇阳债券Z,东方红配置精选混合A,东方红配置精选混合C,东方红聚利债券A,东方红聚利债券C,东方红品质优选定开混合,东方红创新优选定开混合,东方红目标优选定开混合",1896,236.33,45.83
22,孔涛,华安基金,华安幸福生活混合,276,22.36,20.84
23,匡伟,兴证资管,"兴证资管金麒麟领先优势一年持有混合A,兴证资管金麒麟领先优势一年持有混合C,兴证资管金麒麟消费升级混合A,兴证资管金麒麟消费升级混合B,兴证资管金麒麟消费升级混合C",549,13.56,52.7
24,寇文红,中融基金,中融新机遇混合,878,0.55,55.27
25,孔学兵,金信基金,"金信行业优选混合发起式,金信深圳成长混合发起式,金信稳健策略灵活配置混合",2931,12.9,56.49
26,孔祥鹏,金元顺安基金,金元顺安宝石动力混合,855,0.73,-5.2
27,孔晓语,兴银基金,"兴银丰盈灵活配置,兴银先锋成长混合A,兴银先锋成长混合C",1240,0.73,77.76
28,孔宪政,蜂巢基金,"蜂巢卓睿灵活配置混合A,蜂巢卓睿灵活配置混合C,蜂巢恒利债券A,蜂巢恒利债券C",321,2.87,4.53
29,康钊,华安基金,"华安安盛3个月定开债,华安安业债券A,华安安业债券C,华安安和债券A,华安安和债券C",220,65.08,3.61
30,罗安安,南方基金,"南方新兴混合,南方人工智能混合,南方优选价值混合C,南方核心成长混合A,南方核心成长混合C,南方创新精选一年定开混合A,南方创新精选一年定开混合C,南方创新成长混合A,南方创新成长混合C,南方优选价值混合A",2288,108.18,153.82
31,刘安坤,融通基金,"融通跨界成长灵活配置混合,融通逆向策略灵活配置混合A,融通研究优选混合,融通逆向策略灵活配置混合C,融通稳健添瑞灵活配置混合A,融通稳健添瑞灵活配置混合C",881,6.19,83.06
32,刘爱民,浙商基金,"浙商日添利A,浙商日添利B,浙商惠盈纯债A,浙商日添金货币A,浙商日添金货币B,浙商丰顺纯债债券,浙商惠睿纯债债券,浙商中短债债券A,浙商中短债债券C,浙商惠盈纯债C,浙商惠民纯债C,浙商中债1-5年政策性金融债A,浙商中债1-5年政策性金融债C,浙商兴盛一年定开债券型发起式,浙商惠民纯债A",1368,100.82,17.22
