,序号,姓名,所属公司,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
589,40,何媛,创金合信基金,"创金合信鑫收益混合A,创金合信鑫收益混合C,创金合信鑫收益混合E,创金合信汇融一年定开混合A,创金合信汇融一年定开混合C,创金合信汇悦一年定开混合A,创金合信汇悦一年定开混合C,创金合信瑞裕混合A,创金合信瑞裕混合C,创金合信先进装备股票A,创金合信先进装备股票C",1 ,13.37,28.61
590,41,黄岳,国泰基金,"国泰中证生物医药ETF联接A,国泰中证生物医药ETF联接C,国泰中证全指建料ETF联接A,国泰中证全指建材ETF联接C,国泰中证科创创业50ETF发起联接A,国泰中证科创创业50ETF发起联接C,国泰中证全指建筑材料ETF,国泰中证医疗ETF,国泰中证智能汽车主题ETF,国泰中证生物医药ETF,国泰中证500ETF,国泰中证科创创业50ETF",1 ,59.21,6.99
591,42,韩玥,申万菱信基金,申万稳健养老一年持有混合发起式(FOF),0 ,3.06,1.01
592,43,胡羿,浙商基金,"浙商中证500指数增强A,浙商中证500指数增强C,浙商创业板指数增强A,浙商创业板指数增强C,浙商沪深300指数增强",0 ,13.2,9.38
593,44,胡宜斌,华安基金,"华安媒体互联网混合,华安智能生活混合,华安成长创新混合",6 ,79.66,177.78
594,45,韩阅川,易方达基金,"易方达新利灵活配置混合,易方达新鑫混合I,易方达新鑫混合E,易方达新益混合I,易方达新益混合E,易方达新享混合A,易方达新享混合C,易方达瑞景混合,易方达瑞信混合I,易方达瑞信混合E,易方达瑞选灵活配置混合I,易方达瑞选灵活配置混合E,易方达瑞和灵活配置混合,易方达瑞富灵活配置混合I,易方达瑞富灵活配置混合E,易方达瑞祺灵活配置混合I,易方达瑞祺灵活配置混合E,易方达瑞智灵活配置混合I,易方达瑞智灵活配置混合E,易方达瑞兴灵活配置混合I,易方达瑞兴灵活配置混合E,易方达瑞祥灵活配置混合I,易方达瑞祥灵活配置混合E,易方达丰惠混合,易方达裕鑫债券A,易方达裕鑫债券C,易方达鑫转添利混合A,易方达鑫转添利混合C,易方达鑫转招利混合A,易方达鑫转招利混合C,易方达瑞川混合A,易方达瑞川混合C,易方达瑞锦混合A,易方达瑞锦混合C",2 ,173.13,49.41
595,46,洪阳玚,国联安基金,"国联安安泰灵活配置混合,国联安新精选混合,国联安睿祺灵活配置混合,国联安6个月定开债A,国联安6个月定开债C,国联安短债债券A,国联安短债债券C,国联安中债1-3年政金融债,国联安货币A,国联安货币B",2 ,108.61,8.08
596,47,胡宇飞,嘉实基金,"嘉实核心优势股票发起式,嘉实港股优势混合A,嘉实港股优势混合C,嘉实蓝筹优势混合A,嘉实蓝筹优势混合C,嘉实优势精选混合A,嘉实优势精选混合C,嘉实海外中国股票混合",4 ,177.09,80.31
597,48,黄耀锋,汇添富基金,"汇添富红利增长混合A,汇添富红利增长混合C",2 ,18.8,103.16
598,49,何以广,长城基金,"长城智能产业灵活配置混合,长城研究精选混合,长城价值成长六个月持有期混合A,长城价值成长六个月持有期混合C,长城品质成长混合A,长城品质成长混合C,长城均衡优选混合,长城安心回报混合,长城中小盘成长混合",6 ,136.35,180.7
599,50,黄莹洁,交银施罗德基金,"交银天利宝货币A,交银天利宝货币E,交银活期通货币A,交银活期通货币E,交银天益宝货币A,交银天益宝货币E,交银稳鑫短债债券A,交银稳鑫短债债券C,交银稳利中短债债券A,交银稳利中短债债券C,交银施罗德中高等级信用债,交银丰享收益债券A,交银丰享收益债券C,交银裕隆纯债债券A,交银裕隆纯债债券C,交银境尚收益债券A,交银境尚收益债券C",6 ,787.25,131.09
600,1,胡永杰,华润元大基金,"华润元大安鑫灵活配置混合A,华润元大量化优选混合A,华润元大富时中国A50指数A,华润元大成长精选A,华润元大成长精选C,华润元大欣享混合A,华润元大欣享混合C,华润元大安鑫灵活配置混合C,华润元大量化优选混合C,华润元大富时中国A50指数C",1 ,11.12,-0.27
601,2,胡永青,嘉实基金,"嘉实策略优选混合,嘉实致融一年定期债券,嘉实稳固收益债券A,嘉实稳惠6个月持有期混合A,嘉实稳惠6个月持有期混合C,嘉实致嘉纯债债券,嘉实浦惠6个月持有期混合A,嘉实浦惠6个月持有期混合C,嘉实稳健添利一年持有混合,嘉实稳固收益债券C",9 ,247.94,57.58
602,3,侯玉琦,汇丰晋信基金,"汇丰晋信双核策略混合A,汇丰晋信双核策略混合C,汇丰晋信医疗先锋混合A,汇丰晋信医疗先锋混合C",10 ,7.71,3.66
603,4,胡攸乔,浦银安盛基金,"浦银安盛医疗健康混合C,浦银安盛医疗健康混合A",1 ,7.65,35.4
604,5,胡尧盛,创金合信基金,"创金合信沪港深精选混合,创金合信港股通大消费精选股票A,创金合信港股通大消费精选股票C,创金合信港股通成长股票A,创金合信港股通成长股票C,创金港股互联网3个月持有混合(QDII)A,创金港股互联网3个月持有混合(QDII)C",4 ,8.12,81.5
605,6,胡耀文,海富通基金,海富通国策导向混合,6 ,3.5,14.8
606,7,黄友文,诺安基金,"诺安研究优选混合,诺安增利债券A,诺安增利债券B",1 ,3.91,19.62
607,8,贺雨轩,天弘基金,"天弘中证医药100A,天弘中证医药100C,天弘国证生物医药指数发起式A,天弘国证生物医药指数发起式C,天弘恒生沪深港创新药精选50ETF",0 ,20.79,-3.15
608,9,胡银玉,银华基金,"银华长丰混合发起式,银华长荣混合",1 ,22.42,67.83
609,10,何移直,华安基金,"华安养老2030三年(FOF),华安稳健养老一年(FOF),华安养老2040三年持有混合(FOF),华安平衡养老三年持有(FOF)",2 ,35.97,24.65
610,11,胡颖臻,华宝基金,"华宝稳健养老(FOF),华宝稳健目标风险三个月持有(FOF)",0 ,0.49,2.61
611,12,贺喆,华宝基金,"华宝制造股票,华宝转型升级混合,华宝新优选定开混合",3 ,3.3,160.78
612,13,黄稚,中信保诚基金,"信诚中证800医药指数(LOF)C,信诚中证800有色指数(LOF)C,信诚中证基建工程指数(LOF)C,信诚中证信息安全指数(LOF)C,信诚中证智能家居指数(LOF)C,中信保诚中证500指数(LOF)C,信诚中证TMT产业主题指数(LOF)C,中信保诚中证500指数(LOF)A,信诚中证800医药指数(LOF)A,信诚中证800有色指数(LOF)A,信诚中证TMT产业主题指数(LOF)A,信诚中证信息安全指数(LOF)A,信诚中证智能家居指数(LOF)A,信诚中证基建工程指数(LOF)A",3 ,36.88,152.59
613,14,洪志,广发基金,"广发汇吉3个月定开债,广发汇佳定期开放债券,广发汇康定期开放债券,广发汇立定期开放债券,广发汇宏6个月定开债,广发汇兴3个月定期开放债券,广发汇利一年定期开放债券,广发均衡增长混合A,广发均衡增长混合C,广发汇荣三个月定开债券",3 ,224.6,10.07
614,15,黄钟,泰康资产,"泰康景泰回报混合A,泰康景泰回报混合C,泰康安悦纯债3月定开债券,泰康安泽中短债A,泰康安泽中短债C",2 ,25.62,42.53
615,16,胡振仓,民生加银基金,"民生加银岁岁增利债券A,民生加银岁岁增利债券C,民生加银岁岁增利债券D,民生加银鑫升纯债,民生加银恒益纯债A,民生加银恒益纯债C,民生加银添鑫纯债A,民生加银添鑫纯债C,民生加银聚鑫三年定开债,民生加银瑞夏一年定开债券发起式,民生瑞盈一年定开债发起式,民生睿智一年定开债,民生加银平稳增利A,民生加银平稳增利C,民生加银丰鑫债券",12 ,194.79,24.35
616,17,韩哲昊,德邦基金,"德邦德利货币A,德邦德利货币B,德邦锐兴债券A,德邦锐兴债券C",6 ,67.84,4.85
617,18,何智豪,上投摩根基金,"上投摩根优选多因子股票,上投标普港股通低波红利指数A,上投标普港股通低波红利指数C,上投摩根量化多因子混合,上投摩根MSCI中国A股ETF联接A,上投摩根MSCI中国A股ETF联接C,上投摩根中证消费服务指数,上投摩根MSCI中国A股ETF",1 ,6.1,14.9
618,19,黄子寒,中信建投基金,"中信建投桂企债A,中信建投桂企债C,中信建投稳硕债券A,中信建投稳硕债券C",0 ,5.13,1.88
619,20,何子建,华泰柏瑞基金,"华泰柏瑞丰盛纯债债券A,华泰柏瑞丰盛纯债债券C,华泰柏瑞锦泰一年定开,华泰柏瑞锦瑞债券A,华泰柏瑞锦瑞债券C,华泰柏瑞锦兴39个月定开债,华泰柏瑞景利混合A,华泰柏瑞景利混合C,华泰柏瑞恒利混合A,华泰柏瑞恒利混合C",3 ,63.13,11.34
620,21,胡志利,工银瑞信基金,"工银聚焦30股票,工银现代服务业混合,工银科技创新3年封闭混合,工银优质精选混合",6 ,34.42,179.94
621,22,胡智磊,国泰基金,"国泰润泰纯债债券,国泰丰祺纯债债券,国泰聚禾纯债债券,国泰惠融纯债债券,国泰聚瑞纯债债券,国泰惠泰一年定期开放债券,国泰惠瑞一年定开债,国泰聚鑫纯债债券,国泰添福一年定期开放债券,国泰瑞泰纯债债券",1 ,76.24,5.38
622,23,黄子凌,建信基金,"建信高端装备股票A,建信高端装备股票C",0 ,3.1,23.14
623,24,胡志伟,诺德基金,"诺德消费升级混合,诺德品质消费6个月持有混合",7 ,11.82,34.69
624,25,黄志翔,国泰基金,"国泰润利纯债债券,国泰润鑫定开债发起式,国泰民安增益纯债A,国泰瑞和纯债债券,国泰民安增益纯债C,国泰嘉睿纯债债券,国泰丰盈纯债债券,国泰聚享纯债债券,国泰裕祥三个月定开债,国泰惠盈纯债债券,国泰惠富纯债债券,国泰瑞安三个月定期开放债券,国泰惠丰纯债债券,国泰兴富三个月定开债,国泰盛合三个月定开债,国泰惠享三个月定开债",5 ,116.07,22.03
625,26,胡中原,华商基金,"华商双翼平衡混合,华商瑞丰短债A,华商润丰灵活配置混合A,华商元亨灵活配置混合,华商瑞丰短债C,华商润丰灵活配置混合C,华商鸿畅39个月定开利率债A,华商鸿畅39个月定开利率债C,华商鸿益一年定开债,华商鸿盈87个月定开债,华商现金增利货币A,华商现金增利货币B",3 ,121.26,82.98
626,27,何之渊,朱雀基金,"朱雀产业臻选混合A,朱雀产业臻选混合C,朱雀产业智选混合A,朱雀产业智选混合C",2 ,88.62,108.43
627,28,韩正宇,中融基金,"中融日日盈交易型货币B,中融恒惠纯债A,中融恒惠纯债C,中融日日盈交易型货币A",0 ,11.34,0.63
628,29,IKEDA KAE,浦银安盛基金,浦银安盛全球智能科技(QDII),4 ,0.5,71.99
629,30,姜诚,中泰证券(上海)资管,"中泰星元价值优选灵活配置A,中泰玉衡价值优选混合,中泰兴诚价值一年持有混合A,中泰兴诚价值一年持有混合C,中泰星元价值优选灵活配置C",4 ,19.22,128.06
630,31,焦翠,鹏扬基金,"鹏扬汇利债券A,鹏扬汇利债券C,鹏扬利泽债券A,鹏扬利泽债券C,鹏扬景兴混合A,鹏扬景兴混合C,鹏扬景欣混合A,鹏扬景欣混合C,鹏扬泓利债券A,鹏扬泓利债券C,鹏扬淳享债券A,鹏扬淳享债券C,鹏扬景创混合A,鹏扬景创混合C,鹏扬景颐混合A,鹏扬景颐混合C,鹏扬景阳一年持有混合A,鹏扬景阳一年持有混合C,鹏扬淳熙一年定开债发起式",4 ,196.48,45.63
631,32,季程,申万宏源证券,申万宏源灵通快利短债债券,0 ,,0.82
632,33,贾成东,招商基金,"招商行业精选股票基金,招商财经大数据股票A,招商财经大数据股票C,招商研究优选股票A,招商研究优选股票C,招商科技动力3个月股票A,招商科技动力3个月股票C,招商产业精选股票A,招商产业精选股票C,招商景气精选股票A,招商景气精选股票C,招商优质成长混合(LOF)",7 ,163.9,231.17
633,34,季参平,交银施罗德基金,"交银现金宝货币A,交银现金宝货币E,交银天鑫宝货币A,交银天鑫宝货币E,交银裕祥纯债债券A,交银裕祥纯债债券C,交银中债1-3年农发债指数A,交银中债1-3年农发债指数C,交银中债1-3年政金债指数A,交银中债1-3年政金债指数C,交银裕景纯债一年定开债,交银货币A,交银货币B,交银丰润收益债券A/B,交银丰润收益债券C,交银裕通纯债债券A,交银裕通纯债债券C",2 ,949.08,6.51
634,35,季峰,广发基金,"广发百发100指数A,广发百发100指数E,广发百发大数据成长混合A,广发百发大数据成长混合E",7 ,5.34,106.97
635,36,姜锋,建信基金,"建信健康民生混合,建信环保产业股票,建信优势动力混合(LOF),建信科技创新3年封闭混合",10 ,23.64,593.1
636,37,江峰,中信保诚基金,信诚多策略灵活配置混合,1 ,0.97,31.66
637,38,金昉毅,光大保德信基金管理,"光大风格轮动混合A,光大创业板量化优选A,光大创业板量化优选C,光大风格轮动混合C,光大锦弘混合A,光大锦弘混合C,光大量化股票,光大优势配置混合",6 ,51.88,126.82
638,39,景辉,诺德基金,"诺德短债债券A,诺德短债债券C,诺德安盈纯债,诺德安瑞39个月定开,诺德安鸿纯债,诺德安盛纯债,诺德增强收益债券",3 ,89.4,13.35
639,40,姜华,建信基金,"建信福泽安泰混合(FOF),建信福泽裕泰混合(FOF)A,建信福泽裕泰混合(FOF)C,建信智汇优选一年持有期混合(MOM)",3 ,28.83,48.89
640,41,蒋华安,工银瑞信基金,"工银养老2035(FOF),工银养老2050混合(FOF),工银养老2040(FOF),工银养老2045三年持有混合(FOF),工银稳健养老目标一年持有混合发起(FOF),工银养老2055混合(FOF)",3 ,15.34,56.03
641,42,金鸿峰,汇安基金,"汇安嘉汇纯债债券A,汇安丰恒灵活配置混合A,汇安丰恒灵活配置混合C,汇安嘉源纯债债券,汇安嘉裕纯债债券,汇安鼎利纯债A,汇安鼎利纯债C,汇安嘉鑫纯债债券,汇安嘉盛纯债债券A,汇安嘉盛纯债债券C,汇安裕和纯债债券A,汇安裕和纯债债券C,汇安中债-广西信用债A,汇安中债-广西信用债C,汇安嘉汇纯债债券C",0 ,60.81,0.84
642,43,季慧娟,嘉合基金,"嘉合货币A,嘉合货币B,嘉合磐稳纯债A,嘉合磐稳纯债C,嘉合稳健增长混合A,嘉合稳健增长混合C,嘉合磐昇纯债A,嘉合磐昇纯债C,嘉合锦鹏添利混合A,嘉合锦鹏添利混合C,嘉合慧康63个月定开债券A,嘉合慧康63个月定开债券C,嘉合中债-1-3年政金债指数A,嘉合中债-1-3年政金债指数C",6 ,142.52,60.36
643,44,金宏伟,泰康资产,"泰康新机遇混合,泰康恒泰回报混合A,泰康恒泰回报混合C,泰康颐享混合A,泰康颐享混合C,泰康科技创新一年定开混合",4 ,43.14,65.93
644,45,经惠云,泰康资产,"泰康年年红纯债一年债券,泰康安和纯债6个月定开债券,泰康信用精选债券A,泰康信用精选债券C,泰康润颐63个月定开债券,泰康润和两年定开债券,泰康瑞丰3月定开债券,泰康长江经济带债券A,泰康长江经济带债券C",6 ,182.63,26.94
645,46,JINYA,广发基金,"广发稳健养老(FOF),广发养老2050混合(FOF),广发养老2040(FOF),广发安泰稳健养老一年持有混合(FOF)",1 ,13.28,2.54
646,47,贾健,易方达基金,易方达创新驱动灵活配置混合,0 ,31.79,51.72
647,48,江俊晨,恒生前海基金,恒生前海港股通精选混合,1 ,2.17,10.34
648,49,纪君凯,海富通基金,"海富通量化前锋股票C,海富通量化前锋股票A,海富通中证500增强C,海富通上证周期ETF,海富通上证非周期ETF,海富通中证500增强A",1 ,3.63,48.41
649,50,蒋佳良,浦银安盛基金,"浦银安盛价值精选混合A,浦银安盛价值精选混合C,浦银均衡优选6个月持有混合A,浦银均衡优选6个月持有混合C,浦银安盛新经济结构混合C,浦银安盛新经济结构混合A",4 ,23.68,334.25
650,1,姜杰特,平安证券,"平安安赢添利半年滚动持有A,平安安赢添利半年滚动持有B,平安安赢添利半年滚动持有C,平安安赢添利半年滚动持有D",0 ,4.05,1.55
651,2,蒋俊阳,华宝基金,"华宝中证细分食品饮料产业主题ETF联接A,华宝中证细分食品饮料产业主题ETF联接C,华宝中证电子50ETF联接A,华宝中证电子50ETF联接C,华宝深证创新100ETF发起联接A,华宝深证创新100ETF发起联接C,华宝深创100ETF,华宝中证电子50ETF,华宝中证细分食品饮料主题ETF,华宝中证沪港深500ETF",1 ,29.06,1.76
652,3,蒋科,广发基金,广发趋势动力混合,1 ,0.44,87.76
653,4,江科宏,景顺长城基金,"景顺长城优势企业混合,景顺长城品质长青混合,景顺长城精选蓝筹混合",9 ,56.14,74.89
654,5,蒋磊,银河基金,"银河睿达灵活配置混合A,银河睿达灵活配置混合C,银河嘉谊灵活配置混合A,银河嘉谊灵活配置混合C,银河睿嘉债券A,银河睿丰定开债券,银河睿嘉债券C,银河家盈债券,银河聚星两年定开债券,银河旺利混合A,银河旺利混合C,银河旺利混合I,银河君怡债券,银河君辉3个月定开债,银河鸿利混合A,银河鸿利混合C,银河鸿利混合I,银河增利债券A,银河增利债券C,银河银信添利债券B,银河银信添利债券A,银河领先债券",5 ,137.15,151.42
655,6,吉莉,国投瑞银基金,"国投瑞银策略精选混合,国投瑞银核心企业混合",4 ,15.69,137.4
656,7,江凌,永赢基金,"永赢盈益债券A,永赢盈益债券C,永赢通益债券A,永赢通益债券C,永赢汇利六个月定开债,永赢众利债券",2 ,65.23,9.79
657,8,蒋利娟,泰康资产,"泰康薪意保货币A,泰康薪意保货币B,泰康稳健增利债券A,泰康稳健增利债券C,泰康薪意保货币E,泰康宏泰回报混合,泰康金泰3月定开混合,泰康兴泰回报沪港深混合,泰康颐年混合A,泰康颐年混合C,泰康颐享混合A,泰康颐享混合C,泰康招泰尊享一年持有期混合A,泰康招泰尊享一年持有期混合C,泰康浩泽混合A,泰康浩泽混合C,泰康合润混合A,泰康合润混合C",6 ,229.87,56.35
658,9,贾丽杰,金元顺安基金,"金元顺安沣楹债券,金元顺安医疗健康混合A,金元顺安医疗健康混合C,金元顺安成长动力混合,金元顺安价值增长混合",4 ,23.27,92.24
659,10,蒋丽丝,兴业基金,"兴业消费精选混合A,兴业消费精选混合C",1 ,3.96,-12.54
660,11,江刘玮,中邮基金,"中邮睿信增强债,中邮景泰灵活配置混合A,中邮景泰灵活配置混合C",1 ,13.56,8.77
661,12,纪玲云,易方达基金,"易方达信用债债券A,易方达信用债债券C,易方达瑞财混合I,易方达瑞财混合E,易方达恒利定期开放债券,易方达恒盛3个月定开混合,易方达恒裕一年定开债,易方达科润混合(LOF)",8 ,408.22,50.44
662,13,金凌志,南方基金,"南方纯元A,南方纯元C,南方卓利3个月定开债A,南方卓利3个月定开债C,南方惠利6个月定开债A,南方惠利6个月定开债C,南方贺元利率债债券A,南方贺元利率债债券C,南方集利18个月定开债券A,南方集利18个月定开债券C,南方昭元债券A,南方昭元债券C,南方升元中短期利率债A,南方升元中短期利率债C,南方润元纯债债券A/B,南方润元纯债债券C",4 ,227.36,19.74
663,14,金猛,嘉实基金,"嘉实绝对收益策略定期混合,嘉实对冲套利定期混合,嘉实中小企业量化活力混合,嘉实央企创新驱动ETF联接A,嘉实央企创新驱动ETF联接C,嘉实医药健康100ETF联接A,嘉实医药健康100ETF联接C,嘉实量化阿尔法混合,嘉实中证央企创新驱动ETF",3 ,44.78,107.32
664,15,蒋敏,银河基金,"银河颐年稳健养老一年持有混合(FOF),银河悦宁稳健养老一年持有(FOF)",0 ,5.97,0.29
665,16,蒋娜,博时基金,"博时文体娱乐主题混合,博时研究精选持有期混合A,博时研究精选持有期混合C,博时女性消费主题混合A,博时女性消费主题混合C,博时凤凰领航混合A,博时凤凰领航混合C,博时价值增长贰号混合",5 ,35.27,104.8
666,17,冀楠,博时基金,"博时核心资产精选混合A,博时核心资产精选混合C,博时精选混合A",4 ,28.49,-13.41
667,18,贾鹏,银华基金,"银华多元视野灵活配置混合,银华远景债券,银华多元动力灵活配置混合,银华多元机遇混合,银华远兴一年持有期债券,银华多元回报一年持有期混合,银华增强收益债券,银华信用双利债券A,银华信用双利债券C,银华永祥灵活配置混合",7 ,187.45,204.1
668,19,季鹏,国泰君安资产管理,国君资管君得诚混合,7 ,6.57,2.96
669,20,静鹏,江信基金,"江信聚福定开债,江信祺福A,江信祺福C",5 ,4.2,29.36
670,21,蒋璆,华安基金,"华安制造先锋混合A,华安成长先锋混合A,华安成长先锋混合C,华安制造先锋混合C,华安动态灵活配置混合,华安创业板两年定开混合",6 ,40.86,346.37
671,22,纪青,富安达基金,"富安达健康人生混合,富安达长盈灵活配置混合,富安达中证500指数增强",5 ,1.12,135.34
672,23,蒋茜,东方基金,"东方创新科技混合,东方鑫享价值成长一年持有混合A,东方鑫享价值成长一年持有混合C,东方主题精选混合",4 ,22.13,316.29
673,24,蒋秋洁,南方基金,"南方产业活力,南方产业优势两年混合A,南方瑞盛三年混合A,南方瑞盛三年混合C,南方产业优势两年混合C,南方天元新产业股票(LOF),南方隆元产业主题混合",7 ,104.87,79.33
674,25,贾仁栋,招商基金,"招商丰利灵活配置混合A,招商丰利灵活配置混合C,招商睿祥定开混合",5 ,1.24,107.22
675,26,江山,长安基金,"长安裕腾混合A,长安裕腾混合C,长安宏观策略混合",0 ,5.06,5.63
676,27,荆树光,中信建投,"中信建投价值增长A,中信建投价值增长C",1 ,38.77,0.78
677,28,金晟哲,博时基金,"博时鑫泽灵活配置混合A,博时鑫泽灵活配置混合C,博时荣泰混合,博时恒泰债券A,博时恒泰债券C,博时主题行业混合(LOF)",5 ,111.47,132.51
678,29,鞠婷,上投摩根基金,"上投摩根天添宝货币A,上投摩根天添宝货币B,上投摩根天添盈货币A,上投摩根天添盈货币B,上投摩根天添盈货币E,上投摩根货币A,上投摩根货币B",6 ,917.19,15.49
679,30,金拓,中融基金,"中融核心成长,中融成长优选混合A,中融成长优选混合C",4 ,2.32,242.55
680,31,贾腾,浙商基金,"浙商全景消费混合,浙商丰利增强债券,浙商中华预期高股息A,浙商中华预期高股息C,浙商沪港深精选混合A,浙商沪港深精选混合C,浙商智选价值混合A,浙商智选价值混合C,浙商智选家居股票A,浙商智选家居股票C,浙商智选食品饮料股票A,浙商智选食品饮料股票C,浙商聚潮产业成长混合",3 ,37.94,144.12
681,32,焦巍,银华基金,"银华富利精选混合,银华富饶精选三年持有期混合,银华富久食品饮料精选混合(LOF)C,银华富裕主题混合,银华富久食品饮料精选混合(LOF)A",6 ,339.88,201.77
682,33,计伟,中银证券,"中银证券祥瑞混合A,中银证券祥瑞混合C,中银证券创业板ETF,中银证券中证500ETF",4 ,1.21,13.51
683,34,季文华,兴证全球基金,"兴全合丰三年持有混合,兴全社会责任混合",5 ,166,78.13
684,35,纪文静,东方红资产管理,"东方红领先精选混合,东方红稳健精选混合A,东方红稳健精选混合C,东方红睿逸定期开放混合,东方红收益增强债券A,东方红收益增强债券C,东方红6个月定开债,东方红信用债债券A,东方红信用债债券C,东方红稳添利纯债A,东方红价值精选混合A,东方红价值精选混合C,东方红战略精选混合A,东方红战略精选混合C,东方红益鑫纯债A,东方红益鑫纯债C,东方红智逸沪港深定开混合,东方红稳添利纯债C",6 ,336.22,90.19
685,36,季伟杰,兴证全球基金,"兴全兴泰定期开放债券,兴全恒瑞定开债券发起式,兴全恒祥88个月定开债券",2 ,150.76,9.35
686,37,江文军,淳厚基金,"淳厚稳惠债券A,淳厚稳惠债券C,淳厚稳鑫债券A,淳厚稳鑫债券C,淳厚中短债债券A,淳厚中短债债券C,淳厚稳嘉债券A,淳厚稳嘉债券C,淳厚安裕87个月定开债,淳厚安心87个月定开债",1 ,173.05,4.39
687,38,蒋文玲,汇添富基金,"汇添富现金宝货币A,汇添富短债债券A,汇添富短债债券C,汇添富丰利短债债券A,汇添富90天短债A,汇添富90天短债B,汇添富90天短债C,汇添富汇鑫货币A,汇添富汇鑫货币B,汇添富现金宝货币B,汇添富现金宝货币C,汇添富丰利短债债券C,汇添富短债债券E,汇添富利率债",8 ,1047.62,21.77
688,39,蒋雯文,中欧基金,"中欧睿达定期开放混合A,中欧琪和灵活配置混合A,中欧琪和灵活配置混合C,中欧双利债券A,中欧双利债券C,中欧康裕混合A,中欧康裕混合C,中欧瑾泰债券A,中欧瑾泰债券C,中欧安财定开债发起式,中欧睿达定期开放混合C,中欧达益稳健一年混合A,中欧达益稳健一年混合C",4 ,197.28,29.83
689,40,蒋鑫,鹏华基金,"鹏华健康环保混合,鹏华优选成长混合A,鹏华优选成长混合C,鹏华远见成长混合A,鹏华远见成长混合C,鹏华致远成长混合A,鹏华致远成长混合C,鹏华产业升级混合A,鹏华产业升级混合C,鹏华普天收益混合,鹏华动力增长混合(LOF)",5 ,115.34,169.47
690,41,景晓达,工银瑞信基金,"工银聚丰混合A,工银聚丰混合C,工银聚瑞混合A,工银聚瑞混合C,工银聚享混合A,工银聚享混合C,工银聚宁9个月持有期混合A,工银聚宁9个月持有期混合C,工银添颐债券B,工银添颐债券A",3 ,25.02,35.62
691,42,金笑非,鹏华基金,"鹏华医药科技,鹏华创新升级混合A,鹏华创新升级混合C,鹏华科创3年封闭混合",5 ,47.28,143.2
692,43,金兴健,华润元大基金,"华润元大现金收益货币A,华润元大现金收益货币B,华润元大稳健债券A,华润元大稳健债券C,华润元大现金通货币A,华润元大现金通货币B,华润元大润鑫债券A,华润元大双鑫债券A,华润元大双鑫债券C,华润元大润泽债券A,华润元大润泽债券C,华润元大景泰混合A,华润元大景泰混合C,华润元大润鑫债券C,华润元大润禧39个月定开债A,华润元大润禧39个月定开债C",1 ,131.87,4.29
693,44,蒋秀蕾,融通基金,"融通医疗保健行业混合C,融通创新动力混合A,融通创新动力混合C,融通新蓝筹混合,融通医疗保健行业混合A/B",8 ,53,180.4
694,45,姜晓丽,天弘基金,"天弘永利债券E,天弘荣享定开债,天弘增强回报债券A,天弘增强回报债券C,天弘安康颐养混合C,天弘永利债券C,天弘增强回报债券E,天弘安康颐和混合A,天弘安康颐和混合C,天弘宁弘六个月A,天弘宁弘六个月C,天弘安盈一年持有A,天弘安盈一年持有C,天弘安康颐享12个月持有A,天弘安康颐享12个月持有C,天弘永利优佳混合A,天弘永利优佳混合C,天弘永利债券A,天弘安康颐养混合A,天弘永利债券B",9 ,160.56,100.99
695,46,靳晓龙,北信瑞丰,"北信瑞丰稳定收益A,北信瑞丰稳定收益C,北信瑞丰稳定增强,北信瑞丰鼎盛中短债A,北信瑞丰鼎盛中短债C",1 ,2.5,7.82
696,47,姜雪婷,景顺长城基金,"景顺长城医疗健康混合A,景顺长城医疗健康混合C",0 ,4.14,-0.11
697,48,季新星,华夏基金,"华夏行业龙头混合,华夏内需驱动混合A,华夏内需驱动混合C,华夏消费优选混合A,华夏消费优选混合C,华夏阿尔法精选混合A,华夏阿尔法精选混合C",4 ,83.85,22.52
698,49,金耀,民生加银基金,"民生加银研究精选混合,民生加银周期优选混合A,民生加银周期优选混合C,民生加银聚优精选混合,民生加银积极成长混合发起式",4 ,7.31,213.38
699,50,江勇,海富通基金,"海富通中证长三角领先ETF联接,海富通中证100指数(LOF)C,海富通策略收益债券A,海富通策略收益债券C,海富通欣睿混合A,海富通欣睿混合C,海富通欣利混合A,海富通欣利混合C,海富通中证100指数(LOF)A,海富通上证周期ETF,海富通上证非周期ETF,海富通中证港股通科技ETF,海富通中证长三角领先ETF,海富通上证周期ETF联接,海富通稳固收益债券,海富通上证非周期ETF联接",3 ,23,69.9
700,1,姜英,国泰基金,国泰金牛创新成长混合,1 ,16.49,17.62
701,2,江映德,建信基金,建信裕利灵活配置混合,1 ,0.91,26.32
702,3,季运佳,上海光大证券资产管理,"光大阳光生活18个月混合A,光大阳光生活18个月混合B,光大阳光生活18个月混合C",0 ,0.74,-6.81
703,4,姜永明,财通资管,"财通资管价值成长混合,财通资管价值发现混合A,财通科技创新一年定开混合,财通资管均衡价值一年持有期混合,财通资管价值精选一年持有混合A,财通资管价值精选一年持有混合C,财通资管宸瑞一年持有混合A,财通资管宸瑞一年持有混合C,财通资管价值发现混合C",2 ,101.93,184.71
704,5,蒋一茜,嘉实基金,嘉实原油(QDII-LOF),6 ,5.81,-6.29
705,6,金梓才,财通基金,"财通成长优选混合,财通集成电路产业股票A,财通集成电路产业股票C,财通科技创新混合A,财通科技创新混合C,财通智慧成长混合A,财通智慧成长混合C,财通多策略福鑫定开混合,财通科创主题3年封闭混合,财通价值动量混合",7 ,58.18,458.06
